region;country;zone;lat;lon;url;ref
poland;szczecinek;jezioro trzesiecko mysia wyspa;53.7085827;16.6695428;https://worldcam.eu/webcams/poland/szczecinek/24369-jezioro-trzesiecko-mysia-wyspa;24369
poland;krakow;rynek podgorski;50.0441516;19.9487283;https://worldcam.eu/webcams/poland/krakow/9956-rynek-podgorski;9956
poland;ustron;uzdrowisko ustron panoramic view;49.7176491;18.8342945;https://worldcam.eu/webcams/poland/ustron/7234-uzdrowisko-ustron-panoramic-view;7234
poland;buk;church;52.3579463;16.5126799;https://worldcam.eu/webcams/poland/buk/13190-church;13190
poland;lublin;church;51.2438584;22.5607586;https://worldcam.eu/webcams/poland/lublin/21690-church;21690
poland;wegorzewo;swiecajty lake;54.180228;21.7712322;https://worldcam.eu/webcams/poland/wegorzewo/21487-swiecajty-lake;21487
poland;rybnik;bazylika sw antoniego;50.0979944;18.5499007;https://worldcam.eu/webcams/poland/rybnik/6924-bazylika-sw-antoniego;6924
poland;limanowa;slopnice church;49.6991483;20.3912519;https://worldcam.eu/webcams/poland/limanowa/14728-slopnice-church;14728
poland;stalowa wola;turbia airport;50.6271332;21.9992516;https://worldcam.eu/webcams/poland/stalowa-wola/13828-turbia-airport;13828
poland;gdansk;wyspa sobieszewska church;54.3402634;18.8707798;https://worldcam.eu/webcams/poland/gdansk/19857-wyspa-sobieszewska-church;19857
poland;jaswily;dolistowo;53.5485352;22.9040104;https://worldcam.eu/webcams/poland/jaswily/11224-dolistowo;11224
poland;szprotawa;panoramic view;51.6020794;15.5298379;https://worldcam.eu/webcams/poland/szprotawa/17854-panoramic-view;17854
poland;raciborz;city view;50.0906153;18.2217864;https://worldcam.eu/webcams/poland/raciborz/18818-city-view;18818
poland;gabin;market square;52.3992794;19.7315648;https://worldcam.eu/webcams/poland/gabin/7087-market-square;7087
poland;bolkow;castle;50.92176;16.0978687;https://worldcam.eu/webcams/poland/bolkow/20994-castle;20994
poland;spytkowice;kompleks beskid;49.56521;19.7903954;https://worldcam.eu/webcams/poland/spytkowice/5376-kompleks-beskid;5376
poland;moszczenica;staszkowka;49.749916;21.0336545;https://worldcam.eu/webcams/poland/moszczenica/9688-staszkowka;9688
poland;rzeszow;aleja pilsudskiego wiadukt slaski;50.0425385;21.9955399;https://worldcam.eu/webcams/poland/rzeszow/14912-aleja-pilsudskiego-wiadukt-slaski;14912
poland;radymno;roundabout;49.9463965;22.9517484;https://worldcam.eu/webcams/poland/radymno/30975-roundabout;30975
poland;krynica zdroj;slotwiny ski resort;49.4349294;20.9355757;https://worldcam.eu/webcams/poland/krynica-zdroj/6819-slotwiny-ski-resort;6819
poland;wroclaw;church;51.1042242;17.0502528;https://worldcam.eu/webcams/poland/wroclaw/20848-church;20848
poland;jastarnia;roundabout;54.708698;18.6564256;https://worldcam.eu/webcams/poland/jastarnia/14090-roundabout;14090
poland;krynica zdroj;jaworzyna krynicka ski resort;49.4156041;20.9149437;https://worldcam.eu/webcams/poland/krynica-zdroj/43-jaworzyna-krynicka-ski-resort;43
poland;otwock;rudno storks;52.1056344;21.3911561;https://worldcam.eu/webcams/poland/otwock/26177-rudno-storks;26177
poland;gdow;niegowic church;49.9253539;20.2254181;https://worldcam.eu/webcams/poland/gdow/12884-niegowic-church;12884
poland;korczyna;iskrzynia stadium;49.6978656;21.8012377;https://worldcam.eu/webcams/poland/korczyna/18075-iskrzynia-stadium;18075
poland;wroclaw;ulstrzegomska;51.1142002;16.9783235;https://worldcam.eu/webcams/poland/wroclaw/18593-ulstrzegomska;18593
poland;swiebodzin;niesulice jezioro nieslysz;52.2117893;15.4021101;https://worldcam.eu/webcams/poland/swiebodzin/22063-niesulice-jezioro-nieslysz;22063
poland;gizycko;strzelce lake niegocin;53.9998782;21.7801671;https://worldcam.eu/webcams/poland/gizycko/19617-strzelce-lake-niegocin;19617
