region;country;zone;ref;url
south america;brazil;gramado igreja sao pedro;33659;https://worldcam.eu/webcams/south-america/brazil/33659-gramado-igreja-sao-pedro
south america;brazil;armacao dos buzios br marinas buzios;32969;https://worldcam.eu/webcams/south-america/brazil/32969-armacao-dos-buzios-br-marinas-buzios
south america;peru;huanchaco malecon grau;33351;https://worldcam.eu/webcams/south-america/peru/33351-huanchaco-malecon-grau
south america;brazil;itabaiana several views;32718;https://worldcam.eu/webcams/south-america/brazil/32718-itabaiana-several-views
south america;argentina;mar del plata playa mariano;18627;https://worldcam.eu/webcams/south-america/argentina/18627-mar-del-plata-playa-mariano
south america;colombia;restrepo calima lake;34521;https://worldcam.eu/webcams/south-america/colombia/34521-restrepo-calima-lake
south america;brazil;aparecida basilica of the national shrine of our lady of aparecida;21255;https://worldcam.eu/webcams/south-america/brazil/21255-aparecida-basilica-of-the-national-shrine-of-our-lady-of-aparecida
south america;brazil;aparecida basilica historica de nossa senhora aparecida;26915;https://worldcam.eu/webcams/south-america/brazil/26915-aparecida-basilica-historica-de-nossa-senhora-aparecida
south america;argentina;las lenas;6926;https://worldcam.eu/webcams/south-america/argentina/6926-las-lenas
south america;argentina;miramar medanos beach;35101;https://worldcam.eu/webcams/south-america/argentina/35101-miramar-medanos-beach
south america;peru;huanchaco sunkella;35135;https://worldcam.eu/webcams/south-america/peru/35135-huanchaco-sunkella
south america;chile;copiapo revisiones tecnicas rio san pedro;30058;https://worldcam.eu/webcams/south-america/chile/30058-copiapo-revisiones-tecnicas-rio-san-pedro
south america;saint vincent grenadines;mustique coastline;26969;https://worldcam.eu/webcams/south-america/saint-vincent-grenadines/26969-mustique-coastline
south america;peru;ayacucho plaza de armas;27843;https://worldcam.eu/webcams/south-america/peru/27843-ayacucho-plaza-de-armas
south america;argentina;cerro castor ski resort;33266;https://worldcam.eu/webcams/south-america/argentina/33266-cerro-castor-ski-resort
south america;brazil;caxias do sul panoramic view;19756;https://worldcam.eu/webcams/south-america/brazil/19756-caxias-do-sul-panoramic-view
south america;brazil;olimpia thermas dos laranjais;27634;https://worldcam.eu/webcams/south-america/brazil/27634-olimpia-thermas-dos-laranjais
south america;peru;oxapampa plaza de armas;31602;https://worldcam.eu/webcams/south-america/peru/31602-oxapampa-plaza-de-armas
