timestamp;event;ip;hostname
2025-06-18 05:18:28;JOIN;192.168.1.206;Unknown
2025-06-18 05:18:30;JOIN;192.168.1.32;Unknown
2025-06-18 05:18:30;LEAVE;192.168.1.206;Unknown
2025-06-18 05:18:33;JOIN;192.168.1.49;Unknown
2025-06-18 05:18:33;JOIN;192.168.1.206;Unknown
2025-06-18 05:18:33;LEAVE;192.168.1.32;Unknown
2025-06-18 05:18:36;LEAVE;192.168.1.69;Unknown
2025-06-18 05:18:36;LEAVE;192.168.1.89;Unknown
2025-06-18 05:18:36;LEAVE;192.168.1.206;Unknown
2025-06-18 05:18:36;LEAVE;192.168.1.1;Unknown
2025-06-18 05:18:36;LEAVE;192.168.1.49;Unknown
2025-06-18 05:18:38;JOIN;192.168.1.1;_gateway
2025-06-18 05:18:38;JOIN;192.168.1.69;Unknown
2025-06-18 05:18:38;JOIN;192.168.1.89;Unknown
2025-06-18 05:18:38;JOIN;192.168.1.206;Unknown
2025-06-18 05:18:38;LEAVE;192.168.1.22;Unknown
2025-06-18 05:18:40;JOIN;192.168.1.32;Unknown
2025-06-18 05:18:40;JOIN;192.168.1.22;Unknown
2025-06-18 05:18:40;JOIN;192.168.1.92;Unknown
2025-06-18 05:18:40;LEAVE;192.168.1.41;Unknown
2025-06-18 05:18:42;JOIN;192.168.1.41;Unknown
2025-06-18 05:18:42;LEAVE;192.168.1.92;Unknown
2025-06-18 05:18:42;LEAVE;192.168.1.32;Unknown
2025-06-18 05:18:42;LEAVE;192.168.1.89;Unknown
2025-06-18 05:18:44;LEAVE;192.168.1.22;Unknown
2025-06-18 05:18:44;LEAVE;192.168.1.47;Unknown
2025-06-18 05:18:46;JOIN;192.168.1.47;Unknown
2025-06-18 05:18:46;JOIN;192.168.1.89;Unknown
2025-06-18 05:18:46;LEAVE;192.168.1.37;Unknown
2025-06-18 05:18:46;LEAVE;192.168.1.56;Unknown
2025-06-18 05:18:48;JOIN;192.168.1.37;Unknown
2025-06-18 05:18:48;JOIN;192.168.1.56;Unknown
2025-06-18 05:18:48;JOIN;192.168.1.22;Unknown
2025-06-18 05:18:50;LEAVE;192.168.1.22;Unknown
2025-06-18 05:18:50;LEAVE;192.168.1.37;Unknown
2025-06-18 05:18:50;LEAVE;192.168.1.50;Unknown
2025-06-18 05:18:52;JOIN;192.168.1.22;Unknown
2025-06-18 05:18:52;JOIN;192.168.1.37;Unknown
2025-06-18 05:18:52;JOIN;192.168.1.50;Unknown
2025-06-18 05:18:54;LEAVE;192.168.1.22;Unknown
2025-06-18 05:18:57;JOIN;192.168.1.22;Unknown
2025-06-18 05:18:57;LEAVE;192.168.1.206;Unknown
2025-06-18 05:18:57;LEAVE;192.168.1.37;Unknown
2025-06-18 05:18:57;LEAVE;192.168.1.89;Unknown
2025-06-18 05:18:59;JOIN;192.168.1.37;Unknown
2025-06-18 05:18:59;JOIN;192.168.1.89;Unknown
2025-06-18 05:18:59;JOIN;192.168.1.206;Unknown
2025-06-18 05:18:59;LEAVE;192.168.1.22;Unknown
2025-06-18 05:19:01;JOIN;192.168.1.22;Unknown
2025-06-18 05:19:01;LEAVE;192.168.1.47;Unknown
2025-06-18 05:19:03;JOIN;192.168.1.47;Unknown
2025-06-18 05:19:05;LEAVE;192.168.1.22;Unknown
2025-06-18 05:19:05;LEAVE;192.168.1.37;Unknown
2025-06-18 05:19:05;LEAVE;192.168.1.89;Unknown
2025-06-18 05:19:05;LEAVE;192.168.1.206;Unknown
